# Unimported audio in TeachingPreaching. Set decision to: import | skip | later
# decision	series	date	min	kbps	MB	flags	notes_paired	path
	Other / standalone	2018-06-25	16	320	37	320kbps	0	2018-06-25 Ashland University.MP3
	Other / standalone		43	320	103	320kbps,no-date	0	222151040162.mp3
	Other / standalone		57	320	136	320kbps,no-date	0	518161627297.MP3
	Other / standalone		0	320	0	SHORT-0m,320kbps,no-date	0	DM620261.MP3
	Other / standalone		57	320	136	320kbps,no-date	0	DM620267.MP3
	Other / standalone		22	320	53	320kbps,no-date	0	DM620268.MP3
	Other / standalone		40	320	96	320kbps,no-date	0	DM620269.MP3
	Other / standalone		2	320	5	SHORT-2m,320kbps,no-date	0	DM620270.MP3
	Other / standalone		21	320	49	320kbps,no-date	0	DM620271.MP3
	Other / standalone		19	320	45	320kbps,no-date	0	DM620329.MP3
	Other / standalone		18	320	44	320kbps,no-date	0	DM620330.MP3
	Other / standalone		57	320	138	320kbps,no-date	0	DM620332.MP3
	Other / standalone		44	256	85	256kbps,OTHER-SPEAKER,no-date	0	Johnson tenacious faith.MP3
	Other / standalone		20	320	49	320kbps,no-date	0	JudeWaterlessClouds.MP3
	Other / standalone		7	128	721	SHORT-7m,no-date	0	Michael Coughlin Testimony.mp4
	Other / standalone		1	256	2	SHORT-1m,256kbps,OTHER-SPEAKER,no-date	0	Phil Johnson Morning.MP3
	Other / standalone		49	256	94	256kbps,OTHER-SPEAKER,no-date	0	Phil Johnson SS.MP3
	Other / standalone		38	320	92	320kbps,no-date	0	SS Trinity.MP3
	Other / standalone		37	320	89	320kbps,no-date	0	Sunday School.MP3
	Other / standalone		2	64	1	SHORT-2m,voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - BobasNames - 2152016 808 PM.m4a
	Other / standalone		1	64	1	SHORT-1m,voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - HowToBeEffectiveWErin - 12172015 539 PM.m4a
	Other / standalone		2	64	1	SHORT-2m,voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - Hymns - 262016 240 PM.m4a
	Other / standalone		0	64	0	SHORT-0m,voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - Joshua - 252016 742 PM.m4a
	Other / standalone		2	256	4	SHORT-2m,256kbps,voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - Ps34-ESV - 1302016 700 AM.m4a
	Other / standalone		13	64	7	voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - SdA2 - 272016 152 PM.m4a
	Other / standalone		2	64	1	SHORT-2m,voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - Sda Convo - 272016 134 PM.m4a
	Other / standalone		0	64	0	SHORT-0m,voice-memo,no-date	0	Voice Memos - Michael Coughlin’s iPhone - Snoring - 272016 314 AM.m4a
	Trinity SS	2015-12-13	41	320	97	320kbps	0	Trinity Sunday School\2015-12-13 SS Trinity.mp3
	Trinity SS	2015-12-20	38	128	36	-	0	Trinity Sunday School\2015-12-20 SS.mp3
	Trinity SS	2016-01-10	37	256	71	256kbps	0	Trinity Sunday School\2016-01-10 SS.mp3
	Trinity SS	2016-01-17	32	256	61	256kbps	0	Trinity Sunday School\2016-01-17 SS.mp3
	Trinity SS	2016-01-24	35	256	67	256kbps	0	Trinity Sunday School\2016-01-24 SS Michael.MP3
	Trinity SS	2016-01-31	37	256	71	256kbps	0	Trinity Sunday School\2016-01-31.MP3
	Trinity SS		30	64	15	no-date	0	Trinity Sunday School\3rdPs117MiniConferenceChiefOfSinners.m4a
	Trinity SS		38	128	36	no-date	0	Trinity Sunday School\DM620188.MP3
